iter	Accuracy	Logloss
0	0.7670753065	0.6753415048
1	0.7583187391	0.6610945748
2	0.761821366	0.6496456614
3	0.761821366	0.6373122368
4	0.7548161121	0.6287259079
5	0.7565674256	0.6194685271
6	0.7583187391	0.609735487
7	0.7565674256	0.6007445657
8	0.7565674256	0.5954827666
9	0.7565674256	0.5883114548
10	0.7565674256	0.581204815
11	0.7600700525	0.5760791938
12	0.7635726795	0.5723089904
13	0.7670753065	0.5673391715
14	0.7670753065	0.5620902857
15	0.76882662	0.5571871194
16	0.7723292469	0.5542125637
17	0.7723292469	0.5513617187
18	0.7758318739	0.5475663595
19	0.7740805604	0.5444397118
20	0.7758318739	0.5403727216
21	0.7758318739	0.5367352777
22	0.7740805604	0.5334304943
23	0.7740805604	0.5302166424
24	0.7723292469	0.5288854827
25	0.7723292469	0.5259520171
26	0.76882662	0.523116216
27	0.7705779335	0.5206545508
28	0.7705779335	0.5181431435
29	0.76882662	0.5165105591
30	0.7723292469	0.5142547287
31	0.7740805604	0.5128127312
32	0.7740805604	0.5104438148
33	0.7758318739	0.5080048092
34	0.7723292469	0.5070221013
35	0.7758318739	0.5058406972
36	0.7740805604	0.5039243379
37	0.7775831874	0.5020914063
38	0.7758318739	0.5008328592
39	0.7793345009	0.4991673404
40	0.7775831874	0.4978703248
41	0.7775831874	0.4966161472
42	0.7775831874	0.4954506213
43	0.7775831874	0.4943335343
44	0.7758318739	0.4934880148
45	0.7775831874	0.4921354692
46	0.7775831874	0.4914270075
47	0.7775831874	0.4904383215
48	0.7775831874	0.4889960554
49	0.7775831874	0.4877897213
50	0.7793345009	0.4866755739
51	0.7793345009	0.4857918923
52	0.7793345009	0.4848383972
53	0.7793345009	0.4835647321
54	0.7758318739	0.4829338075
55	0.7775831874	0.4818892905
56	0.7775831874	0.4807790267
57	0.7775831874	0.4800412902
58	0.7828371278	0.4788833152
59	0.7845884413	0.4780592117
60	0.7810858144	0.4771131904
61	0.7863397548	0.4764062751
62	0.7845884413	0.475683767
63	0.7845884413	0.4750240124
64	0.7845884413	0.4740018249
65	0.7880910683	0.4725795171
66	0.7880910683	0.4717279043
67	0.7845884413	0.471112493
68	0.7828371278	0.4704856856
69	0.7810858144	0.4695066397
70	0.7810858144	0.468591972
71	0.7880910683	0.4677730796
72	0.7863397548	0.4669860474
73	0.7898423818	0.4664366575
74	0.7915936953	0.4658621368
75	0.7898423818	0.4651294205
76	0.7898423818	0.4646405733
77	0.7898423818	0.4639096126
78	0.7880910683	0.4632894457
79	0.7915936953	0.4626622482
80	0.7915936953	0.4618166066
81	0.7880910683	0.4612801833
82	0.7915936953	0.4603015547
83	0.7915936953	0.4591727793
84	0.7915936953	0.4587539278
85	0.7915936953	0.4581989699
86	0.7898423818	0.457381415
87	0.7933450088	0.4568209488
88	0.7933450088	0.4562802127
89	0.7933450088	0.4558378035
90	0.7915936953	0.4554607933
91	0.7915936953	0.4551376039
92	0.7933450088	0.4546422774
93	0.7933450088	0.4538434837
94	0.7933450088	0.4534080504
95	0.7933450088	0.4528259429
96	0.7933450088	0.4520130288
97	0.7933450088	0.4513608166
98	0.7950963222	0.4508139363
99	0.7950963222	0.4498887356
100	0.7950963222	0.4490144019
101	0.7950963222	0.4486477888
102	0.7933450088	0.4480092748
103	0.7950963222	0.4472732658
104	0.7950963222	0.4464582169
105	0.7968476357	0.4458971117
106	0.7968476357	0.4448485801
107	0.7968476357	0.444448426
108	0.7950963222	0.4439281272
109	0.7950963222	0.4437321957
110	0.7968476357	0.4431413288
111	0.7968476357	0.4426945259
112	0.7968476357	0.4420798522
113	0.7985989492	0.4412275354
114	0.7985989492	0.4405879206
115	0.8021015762	0.4395736359
116	0.8021015762	0.4389654549
117	0.8038528897	0.4380883246
118	0.8021015762	0.4373890616
119	0.8021015762	0.4371014331
120	0.8021015762	0.4366304829
121	0.8021015762	0.4360839878
122	0.8021015762	0.4354126258
123	0.8073555166	0.4344065669
124	0.8073555166	0.4336710254
125	0.8073555166	0.4327359412
126	0.8073555166	0.4327075439
127	0.8091068301	0.4320212189
128	0.8073555166	0.4314081986
129	0.8108581436	0.4306276617
130	0.8126094571	0.4298863863
131	0.8143607706	0.4292209101
132	0.8143607706	0.4281608604
133	0.8108581436	0.4275532343
134	0.8126094571	0.4271059309
135	0.8143607706	0.426910019
136	0.8126094571	0.4259191222
137	0.8126094571	0.4251774136
138	0.8143607706	0.4246618365
139	0.8143607706	0.4237109642
140	0.8161120841	0.4234331872
141	0.8178633975	0.4225519475
142	0.8143607706	0.4220442839
143	0.8161120841	0.421657777
144	0.8143607706	0.4208676953
145	0.819614711	0.4200962991
146	0.819614711	0.4192605618
147	0.819614711	0.418689141
148	0.819614711	0.4182640972
149	0.819614711	0.4182396064
150	0.8178633975	0.4174265859
151	0.8161120841	0.4169845973
152	0.8178633975	0.4161151042
153	0.819614711	0.4154078509
154	0.819614711	0.4148566567
