iter	Passed	Remaining
0	51	25590
1	56	13945
2	59	9880
3	64	7972
4	68	6803
5	74	6151
6	77	5473
7	81	5035
8	86	4721
9	89	4406
10	92	4124
11	95	3887
12	98	3698
13	105	3647
14	109	3536
15	112	3418
16	116	3308
17	119	3203
18	122	3094
19	128	3072
20	131	3004
21	137	2990
22	141	2924
23	145	2893
24	149	2832
25	152	2778
26	157	2751
27	160	2710
28	163	2660
29	166	2615
30	172	2606
31	175	2567
32	178	2530
33	182	2498
34	185	2462
35	189	2440
36	192	2410
37	195	2380
38	199	2354
39	202	2333
40	206	2308
41	209	2280
42	212	2256
43	215	2229
44	218	2210
45	221	2186
46	224	2163
47	227	2143
48	230	2123
49	233	2102
50	236	2081
51	239	2063
52	242	2044
53	245	2029
54	248	2008
55	251	1991
56	254	1975
57	257	1959
58	260	1946
59	263	1931
60	266	1915
61	269	1905
62	272	1892
63	275	1877
64	278	1863
65	281	1849
66	284	1836
67	286	1823
68	290	1811
69	292	1798
70	296	1788
71	298	1777
72	302	1767
73	305	1759
74	308	1748
75	311	1737
76	314	1728
77	317	1717
78	320	1709
79	324	1702
80	327	1696
81	330	1687
82	333	1677
83	337	1669
84	340	1660
85	342	1650
86	345	1642
87	349	1634
88	352	1626
89	355	1618
90	358	1609
91	361	1601
92	364	1593
93	367	1585
94	370	1579
95	373	1571
96	376	1563
97	379	1555
98	382	1549
99	385	1541
100	388	1534
101	391	1527
102	394	1520
103	397	1513
104	400	1505
105	403	1498
106	406	1491
107	409	1485
108	412	1479
109	415	1473
110	418	1467
111	421	1460
112	424	1453
113	427	1448
114	430	1441
115	433	1435
116	436	1428
117	439	1424
118	443	1419
119	446	1414
120	450	1409
121	452	1403
122	456	1398
123	459	1392
124	462	1387
125	465	1382
126	468	1374
127	470	1368
128	474	1364
129	477	1359
130	480	1353
131	483	1347
132	486	1341
133	489	1335
134	492	1330
135	495	1325
136	498	1319
137	501	1314
138	503	1308
139	507	1305
140	510	1300
141	513	1294
142	516	1288
143	519	1283
144	522	1278
145	525	1273
146	528	1269
147	531	1264
148	534	1259
149	536	1252
150	539	1247
151	543	1244
152	546	1239
153	549	1234
154	552	1230
155	555	1225
156	558	1221
157	561	1215
158	564	1210
159	567	1206
160	570	1201
161	573	1196
162	576	1191
163	578	1186
164	581	1181
165	584	1176
166	588	1172
167	591	1168
168	594	1163
169	597	1159
170	600	1154
171	603	1150
172	605	1145
173	609	1141
174	612	1137
175	615	1133
176	618	1128
177	621	1123
178	623	1118
179	626	1114
180	629	1109
181	632	1105
182	635	1100
183	638	1096
184	641	1092
185	645	1090
186	648	1086
187	651	1081
188	655	1077
189	658	1073
190	661	1069
191	664	1065
192	667	1061
193	670	1057
194	673	1052
195	676	1049
196	679	1045
197	682	1041
198	685	1037
199	688	1032
200	691	1028
201	694	1024
202	697	1020
203	700	1016
204	703	1011
205	706	1008
206	709	1004
207	712	1000
208	715	996
209	718	992
210	721	988
211	724	984
212	727	980
213	730	976
214	734	973
215	737	969
216	740	965
217	743	961
218	745	956
219	748	953
220	751	949
221	755	945
222	758	942
223	761	938
224	764	934
225	767	930
226	770	926
227	773	922
228	777	919
229	780	916
230	783	912
231	786	908
232	789	905
233	792	901
234	795	897
235	798	893
236	801	889
237	804	885
238	807	881
239	810	877
240	813	874
241	816	870
242	819	866
243	822	863
244	826	859
245	829	856
246	832	852
247	835	848
248	838	845
249	841	841
250	844	837
251	847	833
252	850	830
253	853	826
254	856	822
255	859	819
256	863	816
257	866	813
258	870	809
259	873	806
260	876	802
261	879	798
262	882	795
263	885	791
264	888	787
265	891	784
266	894	780
267	897	776
268	900	772
269	902	769
270	905	765
271	908	761
272	911	758
273	915	754
274	917	751
275	920	747
276	923	743
277	927	740
278	930	736
279	933	733
280	936	729
281	939	726
282	942	722
283	945	719
284	948	715
285	951	711
286	954	708
287	957	704
288	961	701
289	964	698
290	967	694
291	970	691
