iter	Accuracy	Logloss
0	0.7635726795	0.676041164
1	0.7513134851	0.6614954251
2	0.7513134851	0.6494023182
3	0.7478108581	0.6373263107
4	0.7583187391	0.6257253279
5	0.7565674256	0.616288109
6	0.7513134851	0.6085785186
7	0.7600700525	0.6000062227
8	0.7600700525	0.5941287057
9	0.761821366	0.586185044
10	0.7635726795	0.5798214591
11	0.761821366	0.5734069054
12	0.761821366	0.5675691153
13	0.761821366	0.5622168388
14	0.7635726795	0.5571877439
15	0.761821366	0.5528617996
16	0.7600700525	0.5487500722
17	0.761821366	0.5455586806
18	0.761821366	0.5420375008
19	0.7600700525	0.5388724971
20	0.761821366	0.5364401684
21	0.7635726795	0.535100585
22	0.761821366	0.5326929544
23	0.7635726795	0.5302331753
24	0.7635726795	0.5278595905
25	0.7670753065	0.5255988715
26	0.765323993	0.5232010157
27	0.765323993	0.5227143009
28	0.76882662	0.5208373185
29	0.7670753065	0.5186005907
30	0.765323993	0.5171619258
31	0.7670753065	0.51546733
32	0.7670753065	0.5137336544
33	0.76882662	0.51216048
34	0.7670753065	0.5114049285
35	0.765323993	0.510414231
36	0.765323993	0.508961422
37	0.76882662	0.5069615479
38	0.76882662	0.505350576
39	0.7670753065	0.5041324392
40	0.765323993	0.5037944832
41	0.7670753065	0.5023909122
42	0.7670753065	0.5013832197
43	0.7670753065	0.5003676803
44	0.7670753065	0.4992672827
45	0.7670753065	0.4982312889
46	0.7670753065	0.4972708824
47	0.7670753065	0.4963701211
48	0.76882662	0.4956540701
49	0.76882662	0.4945414873
50	0.76882662	0.494185558
51	0.76882662	0.4928518008
52	0.7705779335	0.4919181041
53	0.76882662	0.4914050274
54	0.76882662	0.4904117151
55	0.76882662	0.4897676339
56	0.76882662	0.4888735643
57	0.7758318739	0.487608798
58	0.7775831874	0.486759111
59	0.7775831874	0.4865613303
60	0.7775831874	0.4858876778
61	0.7775831874	0.4850369979
62	0.7775831874	0.484743515
63	0.7775831874	0.4843142663
64	0.7775831874	0.4837085269
65	0.7775831874	0.4829212626
66	0.7775831874	0.4822955229
67	0.7775831874	0.4814804703
68	0.7775831874	0.4808560735
69	0.7775831874	0.480017136
70	0.7793345009	0.4797234289
71	0.7793345009	0.4787156363
72	0.7793345009	0.4777118877
73	0.7793345009	0.477022598
74	0.7793345009	0.4760523578
75	0.7775831874	0.4753997496
76	0.7793345009	0.4745604157
77	0.7793345009	0.4739050958
78	0.7810858144	0.4730575649
79	0.7828371278	0.4722327139
80	0.7828371278	0.471445292
81	0.7828371278	0.4707659325
82	0.7828371278	0.4702745037
83	0.7810858144	0.4702132511
84	0.7828371278	0.4696190051
85	0.7828371278	0.46901956
86	0.7828371278	0.4682785787
87	0.7845884413	0.4680403431
88	0.7845884413	0.4675544205
