iter	Passed	Remaining
0	4	2146
1	8	2101
2	12	2032
3	15	1941
4	18	1870
5	23	1924
6	26	1842
7	29	1812
8	32	1769
9	35	1735
10	38	1724
11	41	1694
12	45	1687
13	48	1671
14	51	1654
15	54	1651
16	57	1626
17	60	1607
18	63	1600
19	66	1584
20	68	1568
21	71	1548
22	74	1536
23	76	1526
24	79	1516
25	83	1523
26	86	1519
27	88	1497
28	91	1492
29	95	1491
30	97	1481
31	100	1476
32	103	1471
33	107	1469
34	109	1455
35	112	1447
36	115	1444
37	119	1448
38	123	1457
39	126	1452
40	128	1437
41	131	1436
42	134	1434
43	137	1428
44	141	1427
45	144	1423
46	147	1420
47	150	1415
48	153	1411
49	156	1406
50	158	1398
51	162	1397
52	165	1393
53	168	1389
54	171	1385
55	174	1384
56	178	1384
57	181	1381
58	184	1376
59	186	1366
60	189	1360
61	191	1355
62	194	1348
63	197	1345
64	201	1346
65	204	1343
66	207	1341
67	210	1336
68	213	1335
69	216	1331
70	219	1329
71	223	1325
72	225	1321
73	228	1317
74	232	1316
75	235	1314
76	238	1310
77	241	1308
78	244	1304
79	247	1300
80	250	1297
81	254	1295
82	257	1291
83	259	1283
84	261	1278
85	265	1276
86	268	1274
87	270	1266
88	273	1263
89	276	1260
90	280	1259
91	283	1257
92	286	1253
93	289	1251
94	292	1247
95	295	1244
96	298	1242
97	302	1238
98	305	1236
99	308	1232
100	311	1230
101	314	1225
102	317	1224
103	320	1221
104	323	1218
105	326	1215
106	329	1211
107	333	1209
108	336	1205
109	339	1202
110	342	1198
111	344	1194
112	346	1187
113	349	1183
114	351	1177
115	355	1176
116	358	1173
117	361	1169
118	364	1166
119	367	1163
120	370	1160
121	373	1157
122	376	1153
123	379	1149
124	381	1145
125	384	1142
126	387	1137
127	390	1135
128	393	1132
129	396	1129
130	399	1125
131	402	1122
132	405	1119
133	408	1116
134	411	1113
135	415	1111
136	418	1108
137	421	1105
138	424	1102
139	428	1101
140	431	1098
141	436	1100
142	441	1102
143	445	1101
144	449	1099
145	452	1096
146	455	1093
147	457	1089
148	460	1085
149	463	1082
150	467	1079
151	470	1076
152	473	1074
153	476	1070
154	479	1067
155	482	1064
156	485	1061
157	489	1058
158	492	1055
159	495	1052
160	498	1049
161	501	1045
162	504	1042
163	507	1038
164	510	1036
165	513	1033
166	517	1030
167	520	1027
168	523	1024
169	526	1021
170	529	1018
171	532	1015
172	535	1012
173	539	1010
174	541	1004
175	544	1001
176	547	999
177	550	995
178	553	992
179	556	989
180	559	986
181	562	982
182	566	980
183	569	977
184	572	974
185	575	970
186	578	968
187	581	965
188	585	962
189	588	959
190	591	956
191	594	953
192	596	949
193	600	946
194	603	944
195	606	941
196	609	937
197	613	935
198	616	932
199	619	929
200	622	925
201	625	922
202	628	919
203	631	915
204	634	913
205	637	910
206	640	906
207	643	903
208	647	901
209	649	897
210	653	894
211	656	891
212	658	887
213	661	884
214	664	881
215	667	878
216	671	875
217	674	872
218	677	869
219	680	866
220	683	863
221	686	860
222	689	856
223	692	853
224	696	850
225	699	847
226	702	845
227	705	841
228	708	838
229	711	835
230	714	832
231	718	830
232	722	827
233	725	824
234	728	821
235	731	818
236	734	814
237	737	811
238	740	808
239	743	805
240	746	802
241	750	800
242	753	797
243	756	794
244	760	791
245	763	788
246	766	784
247	769	781
248	772	778
249	775	775
250	778	772
251	781	768
252	784	765
253	787	762
254	790	759
255	793	756
256	796	753
257	800	750
258	802	747
259	806	744
260	809	740
261	812	737
262	815	734
263	818	731
264	821	728
265	824	724
266	827	721
267	830	718
268	833	715
269	836	712
270	839	709
271	842	706
272	845	703
273	848	700
274	852	697
275	855	694
276	858	690
277	861	687
278	864	684
279	867	681
280	870	678
281	873	675
282	876	672
283	879	668
284	882	665
285	886	662
286	889	659
287	892	656
288	894	653
289	898	650
290	902	648
291	905	644
292	909	642
293	912	639
294	917	637
295	921	634
296	924	631
297	928	629
298	932	626
299	935	623
300	938	620
301	942	617
302	946	615
303	949	612
304	953	609
305	956	606
306	960	603
307	963	600
308	967	597
309	971	595
310	974	592
311	977	589
312	981	586
313	984	583
314	988	580
315	991	577
316	994	574
317	997	571
318	1001	568
319	1004	565
320	1007	561
321	1010	558
322	1013	555
323	1016	552
324	1019	548
325	1023	546
326	1027	543
327	1030	540
328	1033	537
329	1036	534
330	1039	530
331	1042	527
332	1045	524
333	1048	521
334	1051	517
335	1054	514
336	1057	511
337	1060	508
338	1063	505
339	1066	502
340	1069	498
341	1073	495
342	1076	492
343	1079	489
344	1082	486
345	1085	483
346	1088	479
347	1091	476
348	1094	473
349	1097	470
350	1100	467
351	1104	464
352	1107	461
353	1110	457
354	1113	454
355	1116	451
356	1119	448
357	1122	445
358	1125	442
359	1128	439
360	1131	435
361	1134	432
362	1138	429
363	1141	426
364	1144	423
365	1146	419
366	1149	416
367	1152	413
368	1155	410
369	1159	407
370	1161	404
371	1165	400
372	1168	397
373	1171	394
374	1174	391
375	1177	388
376	1180	385
377	1183	381
378	1186	378
379	1189	375
380	1192	372
381	1195	369
382	1198	366
383	1201	362
384	1204	359
385	1207	356
386	1210	353
387	1213	350
388	1217	347
389	1220	344
390	1223	341
391	1226	337
392	1229	334
393	1232	331
394	1235	328
395	1238	325
396	1241	322
397	1244	318
398	1247	315
399	1251	312
400	1254	309
401	1257	306
402	1260	303
403	1263	300
404	1267	297
405	1270	294
406	1273	290
407	1276	287
408	1279	284
409	1282	281
410	1285	278
411	1288	275
412	1291	272
413	1294	268
414	1297	265
415	1300	262
416	1303	259
417	1307	256
418	1309	253
419	1313	250
420	1316	246
421	1319	243
422	1322	240
423	1325	237
424	1328	234
425	1331	231
426	1335	228
427	1338	225
428	1341	221
429	1344	218
430	1347	215
431	1350	212
432	1353	209
433	1356	206
434	1359	203
435	1362	199
436	1365	196
437	1368	193
438	1371	190
439	1374	187
440	1377	184
441	1380	181
442	1383	178
443	1387	174
444	1390	171
445	1393	168
446	1396	165
447	1399	162
448	1402	159
449	1405	156
450	1408	153
451	1412	149
452	1414	146
453	1417	143
454	1421	140
455	1423	137
456	1426	134
457	1429	131
458	1433	128
459	1436	124
460	1439	121
461	1442	118
462	1445	115
463	1448	112
464	1451	109
465	1455	106
466	1458	103
467	1460	99
468	1463	96
469	1467	93
470	1470	90
471	1472	87
472	1475	84
473	1479	81
474	1482	78
475	1485	74
476	1488	71
477	1491	68
478	1495	65
479	1498	62
480	1501	59
481	1504	56
482	1506	53
483	1510	49
484	1513	46
485	1516	43
486	1519	40
487	1522	37
488	1526	34
489	1529	31
490	1532	28
491	1535	24
492	1538	21
493	1541	18
494	1544	15
495	1547	12
496	1551	9
497	1554	6
498	1557	3
499	1560	0
