iter	Passed	Remaining
0	1	135
1	2	100
2	3	87
3	4	79
4	5	74
5	5	70
6	6	68
7	8	71
8	9	73
9	10	74
10	11	71
11	11	66
12	12	65
13	13	63
14	14	61
15	15	60
16	16	58
17	16	57
18	17	56
19	18	54
20	19	55
21	20	53
22	22	54
23	22	52
24	23	51
25	24	50
26	24	47
27	25	46
28	26	45
29	27	44
30	27	43
31	28	41
32	28	40
33	32	43
34	33	41
35	34	40
36	35	39
37	36	38
38	36	37
39	37	36
40	37	34
41	38	33
42	39	32
43	39	31
44	41	31
45	42	30
46	43	29
47	44	28
48	45	27
49	45	26
50	46	25
51	47	24
52	48	23
53	48	22
54	50	21
55	51	21
56	52	20
57	53	19
58	53	18
59	54	17
60	55	16
61	56	15
62	57	14
63	57	13
64	58	12
65	59	11
66	60	10
67	61	9
68	63	9
69	64	8
70	65	7
71	65	6
72	66	5
73	67	4
74	67	3
75	68	2
76	70	1
77	71	0
78	72	0
